EmployeeNumber,Department,MonthlyIncome,JobSatisfaction,OverTime,attrition_risk_level
1658,Research & Development,5433,2,No,LOW RISK
1659,Research & Development,2013,2,No,LOW RISK
1661,Research & Development,13966,3,Yes,MEDIUM RISK
1662,Research & Development,4374,3,No,MEDIUM RISK
1664,Research & Development,6842,1,No,LOW RISK
1665,Research & Development,17426,3,No,MEDIUM RISK
1666,Research & Development,17603,3,No,MEDIUM RISK
1667,Sales,4581,4,Yes,LOW RISK
1668,Research & Development,4735,4,No,LOW RISK
1669,Sales,4187,2,Yes,HIGH RISK
1670,Sales,5505,4,No,LOW RISK
1671,Research & Development,5470,2,No,LOW RISK
1673,Sales,5476,4,No,LOW RISK
1674,Research & Development,2587,1,Yes,HIGH RISK
1675,Research & Development,2440,2,No,LOW RISK
1676,Sales,15972,2,No,LOW RISK
1677,Research & Development,15379,3,No,MEDIUM RISK
1678,Sales,7082,3,Yes,MEDIUM RISK
1680,Sales,2728,1,No,LOW RISK
1681,Sales,5368,4,Yes,LOW RISK
1682,Research & Development,5347,3,No,MEDIUM RISK
1683,Human Resources,3195,4,Yes,LOW RISK
1684,Research & Development,3989,3,Yes,MEDIUM RISK
1687,Research & Development,3306,3,No,MEDIUM RISK
1689,Research & Development,7005,4,No,MEDIUM RISK
1691,Sales,2655,3,Yes,MEDIUM RISK
1692,Research & Development,1393,2,No,LOW RISK
1693,Research & Development,2570,4,No,LOW RISK
1694,Research & Development,3537,2,No,MEDIUM RISK
1696,Research & Development,3986,4,No,LOW RISK
1697,Research & Development,10883,4,No,LOW RISK
1698,Research & Development,2028,2,No,MEDIUM RISK
1700,Sales,9525,4,No,LOW RISK
1701,Research & Development,2929,4,No,LOW RISK
1702,Sales,2275,4,Yes,LOW RISK
1703,Research & Development,7879,4,Yes,LOW RISK
1704,Research & Development,4930,4,Yes,LOW RISK
1706,Sales,7847,4,Yes,LOW RISK
1707,Research & Development,4401,3,No,MEDIUM RISK
1708,Sales,9241,3,No,MEDIUM RISK
1709,Research & Development,2974,3,No,MEDIUM RISK
1710,Sales,4502,4,No,LOW RISK
1712,Research & Development,10748,3,No,MEDIUM RISK
1714,Human Resources,1555,3,No,MEDIUM RISK
1716,Sales,12936,3,No,MEDIUM RISK
1718,Research & Development,2305,3,No,MEDIUM RISK
1719,Research & Development,16704,2,No,MEDIUM RISK
1720,Research & Development,3433,3,No,MEDIUM RISK
1721,Research & Development,3477,3,No,MEDIUM RISK
1722,Human Resources,6430,2,No,LOW RISK
1724,Research & Development,6516,1,Yes,LOW RISK
1725,Research & Development,3907,1,No,MEDIUM RISK
1727,Research & Development,5562,2,No,LOW RISK
1728,Research & Development,6883,3,No,MEDIUM RISK
1729,Research & Development,2862,4,No,LOW RISK
1731,Sales,4978,2,No,LOW RISK
1732,Sales,10368,4,Yes,LOW RISK
1733,Sales,6134,1,Yes,LOW RISK
1734,Sales,6735,2,No,LOW RISK
1735,Research & Development,3295,2,No,LOW RISK
1736,Research & Development,5238,4,No,MEDIUM RISK
1737,Research & Development,6472,4,Yes,LOW RISK
1739,Sales,9610,3,No,MEDIUM RISK
1740,Sales,19833,2,No,LOW RISK
1744,Human Resources,9756,3,No,MEDIUM RISK
1745,Research & Development,4968,1,No,LOW RISK
1746,Human Resources,2145,4,No,LOW RISK
1747,Human Resources,2180,4,No,LOW RISK
1749,Sales,8346,3,No,MEDIUM RISK
1751,Research & Development,3445,4,No,LOW RISK
1752,Sales,2760,2,No,LOW RISK
1753,Research & Development,6294,3,Yes,MEDIUM RISK
1754,Sales,7140,1,No,LOW RISK
1755,Research & Development,2932,4,Yes,LOW RISK
1756,Sales,5147,2,No,LOW RISK
1757,Sales,4507,4,No,LOW RISK
1758,Sales,8564,1,Yes,LOW RISK
1760,Research & Development,2468,2,No,LOW RISK
1761,Sales,8161,3,No,MEDIUM RISK
1762,Research & Development,2109,1,No,LOW RISK
1763,Research & Development,5294,3,No,MEDIUM RISK
1764,Research & Development,2718,2,No,LOW RISK
1766,Research & Development,5811,4,Yes,LOW RISK
1767,Research & Development,2437,3,Yes,MEDIUM RISK
1768,Research & Development,2766,2,No,LOW RISK
1770,Research & Development,19038,1,No,LOW RISK
1771,Research & Development,3055,2,No,LOW RISK
1772,Research & Development,2289,1,No,LOW RISK
1774,Sales,4001,3,Yes,MEDIUM RISK
1775,Research & Development,12965,3,Yes,MEDIUM RISK
1778,Human Resources,3539,4,No,LOW RISK
1779,Sales,6029,4,No,LOW RISK
1780,Sales,2679,2,No,LOW RISK
1782,Research & Development,3702,3,No,MEDIUM RISK
1783,Research & Development,2398,1,Yes,HIGH RISK
1784,Sales,5468,4,No,MEDIUM RISK
1786,Research & Development,13116,3,No,MEDIUM RISK
1787,Sales,4189,2,No,LOW RISK
1789,Research & Development,19328,4,Yes,LOW RISK
1790,Research & Development,8321,1,Yes,LOW RISK
1792,Research & Development,2342,2,Yes,HIGH RISK
1794,Human Resources,4071,2,No,LOW RISK
1797,Sales,5813,4,Yes,MEDIUM RISK
1798,Research & Development,3143,1,No,LOW RISK
1799,Research & Development,2044,4,No,LOW RISK
1800,Research & Development,13464,3,No,MEDIUM RISK
1801,Sales,7991,2,No,MEDIUM RISK
1802,Research & Development,3377,1,No,LOW RISK
1803,Research & Development,5538,1,No,LOW RISK
1804,Research & Development,5762,4,No,LOW RISK
1805,Human Resources,2592,2,No,LOW RISK
1807,Research & Development,5346,1,No,LOW RISK
1809,Research & Development,4213,1,No,LOW RISK
1812,Sales,4127,4,No,LOW RISK
1813,Research & Development,2438,3,No,MEDIUM RISK
1814,Research & Development,6870,2,No,LOW RISK
1815,Sales,10447,3,Yes,MEDIUM RISK
1816,Research & Development,9667,3,No,MEDIUM RISK
1818,Human Resources,2148,2,Yes,HIGH RISK
1821,Research & Development,8926,2,No,MEDIUM RISK
1822,Research & Development,6513,4,No,LOW RISK
1823,Sales,6799,3,No,MEDIUM RISK
1824,Sales,16291,2,No,LOW RISK
1826,Research & Development,2705,3,No,MEDIUM RISK
1827,Research & Development,10333,2,Yes,LOW RISK
1829,Research & Development,4448,1,No,LOW RISK
1830,Research & Development,6854,4,No,LOW RISK
1833,Sales,9637,1,No,LOW RISK
1834,Research & Development,3591,1,No,LOW RISK
1835,Sales,5405,4,Yes,LOW RISK
1836,Sales,4684,4,No,LOW RISK
1837,Research & Development,15787,3,Yes,MEDIUM RISK
1839,Research & Development,1514,3,No,MEDIUM RISK
1842,Human Resources,2956,1,No,LOW RISK
1844,Human Resources,2335,1,Yes,HIGH RISK
1845,Sales,5154,3,No,MEDIUM RISK
1847,Research & Development,6962,2,Yes,LOW RISK
1849,Sales,5675,4,No,LOW RISK
1850,Research & Development,2379,4,Yes,LOW RISK
1852,Research & Development,3812,4,No,LOW RISK
1853,Sales,4648,4,No,LOW RISK
1854,Research & Development,2936,3,No,MEDIUM RISK
1856,Research & Development,2105,3,No,MEDIUM RISK
1857,Research & Development,8578,4,No,LOW RISK
1858,Human Resources,2706,4,No,LOW RISK
1859,Research & Development,6384,3,No,MEDIUM RISK
1860,Research & Development,3968,3,No,MEDIUM RISK
1862,Sales,9907,2,Yes,LOW RISK
1863,Sales,13225,1,No,LOW RISK
1864,Sales,3540,3,No,MEDIUM RISK
1865,Human Resources,2804,2,No,LOW RISK
1866,Research & Development,19392,3,No,MEDIUM RISK
1867,Research & Development,19665,2,No,LOW RISK
1868,Research & Development,2439,4,Yes,MEDIUM RISK
1869,Sales,7314,2,No,LOW RISK
1870,Research & Development,4774,1,No,LOW RISK
1871,Research & Development,3902,4,No,LOW RISK
1873,Research & Development,2662,4,No,LOW RISK
1875,Sales,2856,2,No,LOW RISK
1876,Sales,1081,4,No,LOW RISK
1878,Research & Development,2472,2,Yes,HIGH RISK
1880,Sales,5673,3,Yes,MEDIUM RISK
1881,Research & Development,4197,3,No,MEDIUM RISK
1882,Sales,9713,4,Yes,LOW RISK
1883,Research & Development,2062,1,No,LOW RISK
1885,Research & Development,4284,1,Yes,HIGH RISK
1886,Research & Development,4788,2,Yes,HIGH RISK
1888,Research & Development,5906,4,No,MEDIUM RISK
1890,Human Resources,3886,4,No,LOW RISK
1892,Research & Development,16823,1,No,LOW RISK
1893,Research & Development,2933,3,Yes,MEDIUM RISK
1898,Sales,6500,3,No,MEDIUM RISK
1900,Research & Development,17174,4,No,MEDIUM RISK
1903,Research & Development,5033,1,No,LOW RISK
1905,Research & Development,2307,1,Yes,HIGH RISK
1907,Research & Development,2587,4,No,MEDIUM RISK
1908,Sales,5507,2,No,LOW RISK
1909,Sales,4393,2,No,LOW RISK
1911,Research & Development,13348,1,No,LOW RISK
1912,Sales,6583,4,Yes,LOW RISK
1915,Sales,8103,4,Yes,LOW RISK
1916,Research & Development,3978,3,No,MEDIUM RISK
1918,Research & Development,2544,4,No,LOW RISK
1922,Research & Development,5399,3,No,MEDIUM RISK
1924,Sales,5487,3,No,MEDIUM RISK
1927,Sales,6834,4,Yes,LOW RISK
1928,Sales,1091,1,No,MEDIUM RISK
1929,Sales,5736,3,No,MEDIUM RISK
1931,Research & Development,2226,2,No,LOW RISK
1932,Research & Development,5747,4,Yes,MEDIUM RISK
1933,Sales,9854,3,Yes,MEDIUM RISK
1934,Research & Development,5467,2,No,LOW RISK
1935,Sales,5380,1,No,LOW RISK
1936,Research & Development,5151,1,No,LOW RISK
1937,Research & Development,2133,2,Yes,HIGH RISK
1938,Sales,17875,4,Yes,MEDIUM RISK
1939,Research & Development,2432,3,Yes,MEDIUM RISK
1940,Research & Development,4771,4,No,LOW RISK
1941,Research & Development,19161,4,No,LOW RISK
1943,Sales,5087,4,Yes,LOW RISK
1944,Human Resources,2863,2,No,MEDIUM RISK
1945,Sales,5561,1,No,LOW RISK
1947,Research & Development,2144,3,No,MEDIUM RISK
1948,Research & Development,3065,1,Yes,HIGH RISK
1949,Research & Development,2810,2,No,LOW RISK
1950,Sales,9888,4,No,LOW RISK
1951,Sales,8628,3,No,MEDIUM RISK
1952,Research & Development,2867,1,No,LOW RISK
1954,Research & Development,5373,1,No,LOW RISK
1955,Research & Development,6667,4,No,LOW RISK
1956,Research & Development,5003,1,No,LOW RISK
1960,Research & Development,2367,4,No,LOW RISK
1961,Sales,2858,1,No,LOW RISK
1962,Sales,5204,4,Yes,LOW RISK
1965,Sales,4105,4,No,LOW RISK
1966,Research & Development,9679,4,No,LOW RISK
1967,Sales,5617,4,Yes,MEDIUM RISK
1968,Sales,10448,1,Yes,MEDIUM RISK
1969,Research & Development,2897,3,No,MEDIUM RISK
1970,Research & Development,5968,3,No,MEDIUM RISK
1971,Research & Development,7510,3,No,MEDIUM RISK
1972,Human Resources,2991,2,Yes,HIGH RISK
1973,Human Resources,19636,2,Yes,MEDIUM RISK
1974,Research & Development,1129,4,Yes,LOW RISK
1975,Sales,13341,1,No,LOW RISK
1976,Research & Development,4332,3,No,MEDIUM RISK
1979,Research & Development,11031,3,No,MEDIUM RISK
1980,Research & Development,4440,1,Yes,HIGH RISK
1981,Research & Development,4617,3,No,MEDIUM RISK
1982,Research & Development,2647,4,No,LOW RISK
1985,Research & Development,6323,3,No,MEDIUM RISK
1986,Sales,5677,2,No,LOW RISK
1987,Human Resources,2187,2,No,LOW RISK
1989,Research & Development,3748,2,No,LOW RISK
1992,Research & Development,3977,3,Yes,MEDIUM RISK
1993,Research & Development,8633,3,No,MEDIUM RISK
1994,Research & Development,2008,3,No,MEDIUM RISK
1995,Sales,4440,2,No,LOW RISK
1996,Sales,3067,3,No,MEDIUM RISK
1997,Research & Development,5321,3,No,MEDIUM RISK
1998,Research & Development,5410,1,Yes,LOW RISK
1999,Research & Development,2782,4,No,LOW RISK
2000,Research & Development,11957,2,No,LOW RISK
2003,Research & Development,2660,3,Yes,MEDIUM RISK
2007,Research & Development,3375,3,No,MEDIUM RISK
2008,Research & Development,5098,3,No,MEDIUM RISK
2009,Research & Development,4878,4,Yes,LOW RISK
2010,Research & Development,2837,2,No,MEDIUM RISK
2012,Research & Development,2406,4,No,LOW RISK
2013,Sales,2269,2,No,LOW RISK
2014,Research & Development,4108,4,No,MEDIUM RISK
2015,Research & Development,13206,3,No,MEDIUM RISK
2016,Sales,10422,4,No,LOW RISK
2017,Research & Development,13744,4,Yes,LOW RISK
2018,Sales,4907,3,Yes,MEDIUM RISK
2019,Sales,3482,4,No,MEDIUM RISK
2020,Research & Development,2436,4,Yes,LOW RISK
2021,Sales,2380,1,Yes,HIGH RISK
2022,Research & Development,19431,4,No,LOW RISK
2023,Sales,1790,1,No,LOW RISK
2024,Sales,7644,4,No,LOW RISK
2025,Research & Development,5131,2,No,LOW RISK
2026,Research & Development,6306,3,No,MEDIUM RISK
2027,Research & Development,4787,4,Yes,LOW RISK
2031,Research & Development,18880,3,No,MEDIUM RISK
2032,Research & Development,2339,3,No,MEDIUM RISK
2034,Research & Development,13570,2,No,MEDIUM RISK
2035,Sales,6712,3,No,MEDIUM RISK
2036,Sales,5406,4,No,LOW RISK
2037,Sales,8938,2,No,LOW RISK
2038,Research & Development,2439,1,No,LOW RISK
2040,Human Resources,8837,4,Yes,MEDIUM RISK
2041,Sales,5343,4,No,LOW RISK
2044,Sales,6728,3,No,MEDIUM RISK
2045,Sales,6652,4,No,LOW RISK
2046,Sales,4850,3,No,MEDIUM RISK
2048,Research & Development,2809,3,No,MEDIUM RISK
2049,Research & Development,5689,3,Yes,MEDIUM RISK
2051,Research & Development,2001,3,No,MEDIUM RISK
2052,Research & Development,2977,4,No,LOW RISK
2053,Research & Development,4025,2,Yes,HIGH RISK
2054,Research & Development,3785,1,No,MEDIUM RISK
2055,Sales,10854,1,Yes,MEDIUM RISK
2056,Sales,12031,4,No,MEDIUM RISK
2057,Research & Development,9936,1,No,LOW RISK
2060,Sales,2966,3,No,MEDIUM RISK
2061,Research & Development,2571,4,No,MEDIUM RISK
2062,Research & Development,9991,1,No,LOW RISK
2064,Research & Development,6142,2,Yes,LOW RISK
2065,Sales,5390,2,No,LOW RISK
2068,Research & Development,4404,3,No,MEDIUM RISK
